Text,Sentiment
VMI nice head and shoulders forming just need the left shoulder now and we see this go retest 140 to 138 range,-1
ZION Stalking. Cup & Handle potential breakout w/ anemic volume on Handle. Breakout candidate,1
"China's natural gas drive may cut oil demand by a tenth, euters : NG NG_F XCO CHK ECA SD COG KWK P SO",1
"Sensex Ends 173 Points Lower, Nifty Settles At 8,749 As Coronavirus Fears Linger",-1
"JPMorgan Chase reported earnings, making it the first major U.S. bank to show how the spreading coronavirus has affâ€¦",-1
AAP still holding your short from 451.50? No it cost me 300 overnight to keep will short again in premarket.,-1
SWI still down small but put in context this still looks good,1
IndusInd Bank Crashes 27% From Day's High As Trading Volume Spikes,-1
Lockdowns and travel curbs are delaying the work of compliance monitors who prefer to see first-hand if companies aâ€¦,1
DOV Nov eport Feb early release earnings next month has made major strides CAB TA,1
"Mortgage REITs have one of the riskiest business models in real estate: they issue high-yield loans, and finance thâ€¦",-1
"RT : China has been more restrained with monetary policy in the coronavirus crisis than the U.S. or Europe, but that is probably aâ€¦",-1
JCP Time for user to pound on balance sheet and cash issue,-1
FCE triggered Tues gapped Wed so today IMO do not have to think - you just take profits,1
AAP wooooow really bad! I won't touch the apple-stock! Wild ride...,-1
WFC BAC C Your dark horses for the week. Will come from behind to to take a lead. CA,1
"OWE STOP IN APO to 18.56, that is a guaranteed .50 cents gain on the second 1/2.",-1
GOOG and AMZN calls are on my watch list for a day trade. Taking a break from AAP,1
VNG getting more 2.80 thats bottom,1
Keep going up GPN. Open up an even better put buying spot.,-1
Global stocks fall after President Trump issues a new warning on the spread of coronavirus in the U.S.,-1
WMT DJ Wal-Mart de Mexico 4Q Earnings Slightly Below Expectations,-1
MSFT - The news of the new Microsoft Windows Blue,-1
CIEN still a good short if it goes under 17.11 and stays there.,-1
hmmm user: TSA user coming after NYT writer. Elon says vehicle log shows he took long detour. WOW,1
"53 Short Ideas, led by miners, FCX NEM IAG CF PAAS, BID, & AAP eyeing 400. Many extended, but trade able.",-1
JAG used to be 8 and trades on several exchanges that had a buyout a few years ago GD SV IMO we'll see M&A in GDX GDXJ space:on TC,1
INT #1 on SMB adar weak today,-1
CF watch for a drop under 24.,-1
VNG getting small position here 2.70 -2.73,1
BAC Big Boys come In Buying arge Block !!!!,1
SK to the GAVE!,-1
GOOG IGV #Google #Software firing on all 3 cylinders compq NDX,1
GOOG is the best. chrome on IOS it better that safari. goog innovation is far better.,1
GD ABX NEM DZZ AY - Deutsche Bank: Today is an important day for investors in gold,-1
NFX failure today 182.50-183 doesn't bode well for next week. top of my list to short Mon. w/ close below 180,-1
IBM and GOOG adding to gains in regular trading hours. I like them both but I prefer GOOG above 745.,1
"Automatic cuts starts today, european crisis goes worse and worst but SSYS DDD XONE are going to pop! Anti austerity hype stocks!",1
SHOT FCX 32.81.,-1
DPS breaking out this am. looks good. earnings feb 13th BMO,1
MCP I like the company but no...,-1
will AAP go down?,-1
The government raised the interest rate it will pay lenders under an emergency loan program to make it more appealiâ€¦,1
HPQ bought a few March 19 lotto calls before the close... Just in case!,1
DN Watch for rebound - maybe by line,1
OC osing mkt share to JDS T now and looking for *much* lower prices. Will miss earnings too!,-1
ANY weird action... seems like it's artificially stuck at 25...,-1
"bought a little FTNT. After all these hacker attacks, I needed some Cyber Security in my portfolio",1
"SoftBank To Raise $41 Billion To Expand Share Buyback, Cut Debt",1
"GOOG puts worked today, and so did CEG calls (V options +100% this week)",1
CBMX B/O smart money coming in this afternoon looking for a push to 200day this low float could 6 by the end of wk little resistance there,1
BBY Headed back to 5 on over saturated Cell Phone Market - That GOOG will own as next mobile Microsoft OS.,-1
GMC recovering from morning weakness opened pos 52.97,1
Watch NX under 24.70,-1
Back in AAPl,1
GOOG still under ma10...just a few more days,-1
AAP Bearish MACD Crossover,-1
CAT grabbed some otto 82.50 puts! Could be a breakdown! .02 - .04!,-1
Every target-date fund isnâ€™t the same. That became clear in the market rout.,1
"NFX 10days ago gave you 10 short then orange dot buy called for 10 up ,DONE ! easy as streaming",1
VHC still looking interesting.Trading within an ascending triangle pattern w resistance at 36.25,1
DKS round 2 tomorrow imo.,-1
BAC out of my swing trade for 8%. Protecting profits.,-1
"AAP From earlier, Stay away from failed patterns",-1
One of the youngest CEOs in the U.S. oil patch wants Texas to mandate lower production as the coronavirus hits crudâ€¦,-1
Foreigners Sell $9-Billion Asian Equities So Far In March Amid Coronavirus Fears,-1
stopped out of CS at 28.50 from 28.71 earlier sorry for the delay,-1
AAP Another Downgrade ! Broken,-1
"SPY afterhours thanks to AAP fail, is coming in hard and fast. #stockaction",-1
AAP has a herculean task ahead at 465,-1
Market Wrap Video + Additions to Watch ist including: AEG DI IPX NG MY ONTY QIH ST XXIA,1
"I'm not short, but if I was going to put a trade on, it would be a short from 530 back to the 50d MA",-1
"CS, KOS positive.... nice reversal in KOS",1
V might still get a flush to 152 but longer-term this is solid,1
"Congress has offered to delay the implementation of new loan-accounting rules for U.S. banks, but banks have good râ€¦",-1
NKE bull penant?,1
Good stuff user: Google Earnings eview: Hopeful Signs in a Multi-Screen World GOOG XK,1
OMEX sold some 3.52 buying back 3.43,1
Crude Oil Market Set For Record Surplus Amid Coronavirus-Led Demand Slump: Goldman Sachs,1
Security software stock FIE is almost back to its all-time highs after a 30% pullback. FTNT from the same group is also setting up,1
"FAZ about to Explode, Get eady, BAC just broke under the 50 day!",-1
FDX double toppoing BEAISH MONTHY GATEY pattern....time to exit ..,-1
INVN CEE - wait for slowing volume and a red bar - and these 2 will move down identical - easy,-1
Market Wrap Video + Additions to Watch ist including: DXPE FT HOT INFI NVE TSN,1
No 1 is talking abt Demark's botched AAP call. Media always parade the hot hand so masses B under the illusion that experts know something,-1
AMZN going above 260. Should go near 300 if market behaves for a few weeks.,1
"I think it's obvious that Valero VO has more room to run, but I certainly like HFC a lot more. Compare their P/E and revenue growth.",1
Dip buyers alive and well everywhere... user: Dip buyers alive and well in JPM.,1
India Inc Stands By Lockdown Extension Call; Seeks Stimulus Package To Rebuild Economy,-1
Split adjusted ...Kansas City ailroad was 25 cents in 1984 and just 10 in 2009. Today an all-time high of 104. Short AAP GOOG hmmm!,1
VOC actually triggerd yesterday but closed back at line - today itstrying again - vol 16%,1
OMX another bricks and mortar dinosaur falling to online retailing> Details here,-1
M currently above resistance this morning,1
SDJPY No breakout on the close. isk rally with equity traders in front of their skis into earnings. ES SPY SPX,-1
Majority of eading Stocks regularly lag NQ_F & ES_F on strong up days. AMH QCOM KS GS SSYS KBH FT GOOG,-1
MOV this may be the best of the best - volume slowing - red bars 2 of them - mkt drop 100 points this = cliff dive for 5 or more points,-1
"If AAP goes to over 451, I will go short. Still weak stock.",-1
"QSII getting close to the big gap above, SI a good indicator here",1
NS aggressive put buying in Feb options,-1
"Green Weekly Triangle on GTE,...Net Profit 4,333.00 (3.14%)",1
"Officials expect another surge as applications processed for newly-eligible gig-economy workers, self-employed",1
GTAT closed above its 50SMA. MACD continues to trend higher near to cross above 0.,1
"Recovery Will Take A Long Time, Say Analysts After Markets Suffer 12% Weekly Loss",-1
YHOO 5 min - looking for a nice smooth 20/50MA 1 setup Monday for a ong. Scalp and 2.15% short.,1
eality will hit NKD. eiterated as Sell and worth just over 80 per share. PT based on discounted cash flow analysis,-1
"AAP Broke 435 and held above 437 which should lead higher Since the slide began, the high days have been Tue, lows Fri",1
"Watch AMTd, once it crosses under 20.50, it will be a home wrecker.",-1
Some retail chains fight for survival amid coronavirus,1
"CM needs to drop under this 181.44 fib level, then you are in biz.",-1
wait to you see what they do w/schools in 2013 user: The JMBA airport locations are generally packed. Good news user,1
"The cannabis sector must stay short of cash, but not too short, for property company IIP to maintain its edge durinâ€¦",1
ZNGA BYD MGM These ready to sell yet on the NJ online gambling bill that will fail?,-1
SW TX GD are royalty companies in GD SV and a bullish sentiment in C COPX SCCO FCX as byproducts NINI JJN JJC JJP JJM,1
"K: ong 53.69. Trailing Stop 53.24 from 3 prior Stops of 52.16, 51.25 and 51.05 -",1
"CWST long 4.67, Ascending triangle, 4.65 touched several times,4.66 high. 200SMA 4.80'sh - magnet",1
Krisanti that is why I had mentioned that AAP sent a reminder to NOK,-1
"SK 6.75 printed AH, this baby's gonna pop tomorrow. Share buy back, euro expansion, fast growing company here :)",1
"AAP Down.. DE up hahhaaha, TC should have bought Dell with Cash like MSFT did with AAP in the 90's",1
EVC - so close to magic 2.00++++ - ready for a big volume day with great earnings due 3/7 Target 3.00,1
AAP traders are attracted to round numbers like 400. sure but this stock is traded 75% by computers,1
"PCN, Short interest very low <5%, BEAISH POINT AND FIGE TIANGE, GAP lower confirms, 625inplay",-1
AAP By By 440!! next 425,-1
this is so bullish for ZNGA [online gambling legalize in nev],1
ENZN double bottom. Interesting,1
GME new HoD,1
AXN rejected by the 50dma yesterday,-1
SK the long awaited short squeeze will not happen today!,-1
CBMX that is unbelievable!!!!!!! but I am happy with my sell I am not good at calling the exact top,1
AAP das + 2 % gef?llt mir nicht.,1
"Green Weekly Triangle on PBY,....Scaling p",-1
#Ackman you should be really going after PI. Classic example of MM firm. worked for them a year or so. Momo is in favor. #yourWelcome,-1
AMTD nice breakout ...This was a stock I alerted to my subscribers last night,1
INVN CEE - started it's red bar down shorting more and CEE hasnt made it move yet - patience,-1
F headed for 12,1
DCTH strong start,1
"Sensex, Nifty Recover Early Losses Amid Volatile Trade",1
GIS - this is what all the others will do - first red bar major short!!! target 40 test,-1
Take a look at how IDCC jumped up quickly after touching the lower Bollinger Band. Happening again.,1
CIE Seems geady to go South,-1
"CTGX this is what what I mean by a 'high, tight' consolidation following high-volume run, v bullish",1
MGM ooks like its getting ready to fill the gap,-1
How much did ZAGG pay Matt Barkley for this BS interview/endorsement???? via user,-1
"AAP, More like crapple as one student said today. Bearish with a move lower tomorrow. It's failing exactly where I thought it would.",-1
Global Stocks Shaky After Worst Crash Since 'Black Monday',-1
SSYS exuberance is a stock generating 2million in operational cash flow for 9mos trading at 3.4 billion. or u could say a top,-1
What are you thinking on a GOOG entry? A close above 765 or 776 ?,1
SHOT MSFT 28.29,-1
"With thousands of flights grounded, U.S. airlines are burning through cash. Selling miles to their credit-card partâ€¦",-1
VS breaking out today:,1
Is it the doomsday for AAP?,-1
DECK out half short +.50 cents,-1
RBI To Buy Government Bonds In Open Markets To Boost Liquidity,1
fnsr great intraday look..,1
"Somehow this reminds me of TGT, JCP #Ackman at least did not buy call options on JCP, still in big trouble, fund redemptions coming imho",-1
AMZN it's time for this bird to fly south!,-1
Moody's Warns Of Downgrading Tata Motors,-1
"Is it just me, or does that look like a double top on HD?",-1
un-p Trade Into DVAX FDA Approval Decision,1
"Sensex opens 2,307 points lower at 27,609, Nifty at 7,946 as global stocks tumble amid more lockdowns on coronaviru…",-1
"PO still some work to do, needs volume on any move higher from here",1
"VHC also getting an upwards reversal intraday, looks good if it can break HoD from the morning",1
Next week a nice pull back to 438 on AAP and 787 on GOOG could really set the QQQ up for it's run over 70.,1
"ACI Option trader buys 20k of the Feb 7P on a hard offer vs. OI of only 1,400. Earnings are Feb 5th BMO. Could be a hedge against long stk",-1
AAP China intensifies attacks on Apple,-1
American Apparel APP presents at 11:05,1
APP on a tear. Great short-squeeze play.,1
AMZN Has Post-Earnings eversal,-1
YHOO esting here after a nice move since November. Watching for a break of 20.85 after earnings,1
"Multi-day downswing in ES_F favored, see demand zone at 1442.00-1423.75 SPX SPY #stocks.",-1
"AEE crosses below 34, and I am shorting it.",-1
TE - new short on board for utility sector,-1
Market Wrap Video + Additions to Watch ist including: CYH DGIT EWBC NGS PKG,1
PNA looks like a solid set up,1
"CSN,....sell short at 9.38 scaling",-1
AAP - 1/2 short covered,-1
AAP 15 min - I'm in otus position trying to emulate user,-1
"Green Daily Triangle on TC,....pdating ong and Short Position",-1
AAP needs to hold here 500 or could see lower prices. Earnings within couple wks,-1
PAY p 7.6% AH 22.01 No real resistance until 23.40 (20 day avg.),1
AAP recent trip to Thailand...even the taxi drivers have iphones ! ~~ wait till they get into China!,1
Oh CAT...,-1
Covered 1/3 45.90 DKS.,-1
AAP Bull Trap Here,-1
E Competition egulators to fine MSFT before end of Mar for breaking 2009 promise to offer rival browsers in Win OS - 2nd failed to comply,-1
"The first target for NEM below 43 is 40, but there is room for a bigger move to 28 for this value trap as long as it holds below 43",-1
SCHW - this 17.20 level is a 50% pullback from Feb. low - we added a pretty decent chunk here - looks scary - buy fear,1
PHM PulteGroup Option Bear bets 1.5 Million on 11% down move by April,-1
VHC could fall apart,-1
OC XX also watchn for a long,1
MCP take-over chatter... (I know don't laugh...),-1
I totally helped beat revenues...i do and I do and I do ...but yoga bores me and western world will bore of it as well #doritos,-1
"Oh, and 1st comment on my user post from a guy with 45 target for MSFT ... BY END OF Q2!!! A tad aggressive?",-1
AAP might close at the lows of the day. Bears will be in control again below the descending trendline. Watch it.,-1
Here are seven major companies whose stocks moved on the weekâ€™s news,-1
RT : Glutted Oil Marketsâ€™ Next Worry: Subzero Prices -- great article by via,-1
erased the opening drive down. still down 4 so plenty of room...let it consolidate,1
WOW! WFM. Bearish past 86.72,-1
"PETM possible leg down now, looking to cover some 61.75",-1
"Instead of the classic M. Night Shyamalan twist, we got the recent M. Night Shyamalan disappointment AAP",-1
CIEN for a short under 17.11,-1
I believe there is a sort of manipulation going on with the XT when you compare the price moves against the underlying holdings like WMT,-1
"DHI: ong 14.39. Trailing Stop 20.50 from 11 Stops of 19.05, 17.90, 16.93, 15.93, 15.65, ... 13.39 and 12.39 -",1
CSN Correction: Thermodox is a nanosoccer ball that's anti-vascular as well as anti-neoplastic!,1
nice opening strength for AMZN today. our long trade working nicely.,1
Bull of the Day: ed obin Gourmet Burgers (GB) GB MCD WEN,1
CHK 15 min kelt/bbands fired earlier while at lunch out 1/2 the 17.50 this AM +100%,1
DOV weekly. Going higher - bot into close eod yest unit cost 4.15 see we get a gapper today,1
"AAP Almost every long will want to goo out for the Week-End, Nobody wnat to be caught 350-400 for months...",-1
ZNGA in at 3.71 1/2pos size will scale in rest if it starts to run over 3.80,1
AMTD TD Ameritrade two massive blocks of upside calls over past week.,1
"if EBAY breaks todays low next week, I will be fully hedging my T position",1
aise BVSN to b/e 11.17.,1
"DECK all on deck as the shorts scramble to cover - pop, pop boom!! uckly they don't wear ggs in Cyprus",1
BAC Vol. Fall on EOD.. Possibly Small Sell-Off !,-1
"ANAC is toast, no volume, free fall from here. Nice run while it lasted, time to close some gaps.",-1
AXTI eleased news. Watching if this can go into 3s today,1
Watching these a little more closely (again) after today's action: BID DECK COST Others: MNX VMW NAN TXH,1
CAT ooking for 5% down Today!,-1
SFD here it comes.,-1
ISG An update to our Feb 20th video review..if it closes below 495 much lower to come soon,-1
CHK thanks JPM upgraded,1
"Another day, another new all-time high for Burger King - BKW. WEN is still sleeping.",1
"April will only be harder for manufacturers, with more states and localities stepping up efforts to halt the spreadâ€¦",-1
Soon GPN will need to start offering Groupons for their stock.,-1
cash AAP TC is hanging on to the cash overseas in case SA implodes or tries to take it as tax for all Obama's pipedreams,1
AAP 5 min - w/ O overlaid,-1
"AAP in some 480 calls into Timmy Cooks investor meeting, for .42...",1
"Switzerlandâ€™s two largest banks, UBS and Credit Suisse, will pay 2019 dividends in two installments as banks acrossâ€¦",-1
"Unemployment Rate Soars To 8.7%, Worst In 43 Months: Report",-1
Mainland Chinese investors have been buying Hong Kong-listed technology and bank stocks. The latter bet looks hardeâ€¦,-1
"CHTP nice bounce off 2, looking for followthrough here",1
COVEED FDX 96.50 from 96.85.,-1
"I was big fan of AMZN but daily and weekly very heavy now, take your gains,selling calls wont be ok",-1
"Heard on the Street: Investors are betting on IACâ€™s remodel, but just how quickly can the whole thing be fixed?",1
AMZN nice intraday flag,1
BAC Tomorrow we fly right thru 12.50!,1
"QEP, volitality expansion just getting started. onger consolidation=larger move higher over time NG SO",1
SVM has come down approx50% SV prices may swing Straddle options H SVC SI miners to gain exposure of the SV DSV to HDGE,1
The most awesome AAP trendline ever. Since 1986!!,-1
WFM - not getting much lift from the rally - looking like a possible bear flag - adding to short,-1
emember when Microsoft was one of the world's most valuable companies and the Gov't conspired to take them down? Apple knows now too. AAP,-1
Estimates to move lower for SAFM after EPS and a trend line break likely today with support at 47,-1
"Sensex opens 284 points lower, Nifty starts day near 8,850 as coronavirus fears linger in global markets #Sensex #Nifty #MarketUpdates",-1
Failing on a 30-minute AAP #Apple NDX QQQ fake-out on daily,-1
Nice! Color me an INTC bull as well!,1
AAP Cracked !!!,-1
AAP 20 minutes till Europe closes we will see if buyers :) over there or sellers :(,1
HPQ my 17.50 calls Are Happy Now!,1
JOY anticipate the bear flag break,-1
AAP in some lotto 500 calls for next week!,1
AAP 40 minutes to get it over 460 pre-market ! ot of fools will B toast !,-1
"ed Daily Triangle on DEPO,.....Scaling Short Position pdate",1
BAC Bank Of America Will ikely Double Again Within 3 Years These stocks are in my IA.,1
AAP Cover my Short B4 Conference !,-1
"AMZN 1,200 lot bid in the Feb weekly 255P. 27 delta, could push market down or create resistance in the stock. Will probably bid up IV",-1
Gap backfill in FIE?,-1
Financial Markets To Remain Shut Today For Ram Navami,-1
ko has trouble staying above 200 day sma past few weeks. could short here or higher stops above 38,-1
#vmware VMW where? here? there? best wishes dealing with this complex H&S,-1
"FIO Hedge Funds Are Buying These 4 Oversold, Highly Shorted Stocks With Troubling Sales Trends ONG",1
"EPS still think there is a better than 50% chance it tags 8, but moving stop on rest to 7.35",1
"Trading Halted For 45 Minutes As Sensex, Nifty Plunge 10% Amid Coronavirus Lockdowns",-1
BAC We can see another rally to 12.40 till 2pm but after --> Opex Power will come. Next Week Dividends + Buyback.,1
"SWI still acting sluggishly but not invalidating yet, hanging in",1
AAP here come the Europeans.. maybe they will save us?,1
AAP trading 263/ share plus CASH,1
"lots of good ideas are to earl AAP didn't invent tablet just introduced it when right, goog glass=smartphone/glasses perv device",1
CPSS - yup I see it :) nice stocastic cycle,1
"Shorting GM and TSA once again. TSA At the high end short term over bought, channel continuation or right shoulder falling H&S...",-1
EBAY breaking lower since sharing with those on Webinar last week. Hold on to your winners,-1
Just a small dose of reality on CTIC :,-1
AF no complaints as it confirms M b/o.,1
ssys statement of cash flow still a secret. no mention of operational cash on CC. no analyst asked about Cash flow either in Q&A. oh well,-1
CW & S = something brewing here,1
"Overheard: Disasters come and go. Human nature, unfortunately, stays the same.",-1
AAP ong for Trade,1
still holding those puts? :) MCP,-1
GTAT Holding 50SMA. ooks like the stock could try and take a trip to 3.62 if volume comes in.,1
CST bot 51.40 I will hv to be patient IMO CST moving in right direction. Don't underestimate loss of Sat Mail too. 250mil buyback 10 p/e,1
SEV needs a little bump to get it moving up again.,1
AAP 480 weekly uptrend support becoming new resistance and bear flag in the making,-1
AAP closed 1/2 of my positions and riding other half,-1
CAT Bullish MACD crossover.,1
"Sensex ends 2,713 points lower, Nifty settles at 9,197 as markets drop 8% amid coronavirus scare #Sensex #Nifty #MarketUpdates",-1
"Sensex, Nifty Stage Mild Recovery; FMCG, Pharma Shares Gain, Banks Fall",1
AAP will top out in April when Aston Kutcher stars in 'jOBS'. Kinda like how Facebook did when 'Social Network' came out. FB,-1
SPW seeing a bearish divergence forming. on watch for a flush to short.,-1
i'd short AAP right here if I wanted to put more positions on. (455.51),-1
"QCO is one of my favorite value stocks. Zero debt, great margins, low P/E and PEG, and soaring income. I am long!",1
BC from watch list triggered on Tuesday its move today 147% volume - above top B band - set stops,1
"Fail to see how you made money. AAP Buy low sell high FYI or sell high, buy back lower.. same everywhere ;)",1
"As long as it doesn't cross the 21.58 Fibonacci evel, the short is valid. INTC",-1
DNKN clearing back about this resistance area - worth eyeing,1
ZNGA Fat juicy Short back to lower levels as it closes Gap 2.72?,-1
"VTX option trader buys 3,700 put spreads in April 48 and 42 strikes. Could be big bet on down move or stock hedge",-1
AAP don't be surprise if #apple go much lower #done and I mean much lower and done,-1
"CSN option trader buys 1,500 of the Jan 11-16 call spread against low OI indicating entering a position for .50. Bet on data bef. Jan 19",1
AAP Highlighted Major esistance Areas To Watch . .,-1
DDD come on 40! I got some calls at 0.15 avg I would OVE to have pay ITM :),1
SHOT CAT 89.85,-1
DDD ... safe from Italian b/s :),1
380 AAP could do a leveraged buy out of itself with cash on hand and low 8 earnings finance.. if there was a bank big enough,1
From Nasdaq site : NVDA NVIDIA Building iPhone and iPad Competitors,1
eading Stocks lagging ES_F much worse then usual for this rally. DDD SSYS SODA QIH Y PX KOS FT INVN,-1
AXTI Starting to look strong again. 3x avg volume. First upside target 3.6,1
"Equity Alpha: INFA is our fav short opp. No growth this year, high valuation. Short under 34.50",-1
NE not bad at all.,1
BAC Cleared 12....,1
"why curse GOOG by raising target to 1,k? (currentlyAAP is trading at 1200 FYI) stock price = dick size (or lack of)",1
"Sensex Opens 166 Points Lower, Nifty Starts Day At 10,334; IT Stocks Worst Hit",-1
"WFC Ho hum Giddy up CA eady to sprint to new high, BAC needs to clear 11.64 resistance",1
yhoo Will Brokerages come out with pgrades/Downgrades this week? Will they pgrade or Downgrade the stock? could make + or- 3 point diff,1
"ANIK long 14.59 / .61, nice consolidation period, waiting for its day, past resist 15.27, 15.52",1
GOOG poised to clear this next resistance (buy / add area) watch action / volume closely here,1
Canadian MTY.CA much better choice than CMG #valueinvesting,1
NG nhod - what do you see? check the weekly - target previous lows 2006 :),1
NFX looking to short on a weak bounce to green arrows then fade if we see momo turn South,-1
GS a solid move higher into new highs today on on strong volume.,1
BAC at least it' is a resilient stock...,1
"NFX Mar 205C (Mar 8th expiry), TOS shows it firing at the bid (1.50 x 1.53), but sorry folks, BOT!",1
Short CF and MMM,-1
CSN Another SA article for the ONGS...,1
eading stocks continue to breakdown even though major indexes one day off multi year highs. TO EXP SODA KOS Y KBH AD OAS FB,-1
AYI Q1 Operational Cash Flow turns Negative,-1
"RT : Something that seems unbelievable: despite another record jump in jobless claims, the U.S. stock market is on course for itâ€¦",-1
Watch APC under 88.,-1
DF looks bullish. ong if beats 16.59. Stop loss 16.49.,1
TM - ahhh! stupid prelim results! short but wanted to add puts before earnings...,-1
"#Gold prices slip below Rs 46,000 as #investors book profits amid #coronavirus-led #recession fears",-1
"RT : Zoom is now a household name, which also puts its problems under a microscope. For -",-1
Great analysis of PNA,1
"Amazon, Flipkart Operations Being Disrupted Amid Lockdown: Report",-1
"AAP failed to get a candle close over the 50% retrace on the day. inverse abcd, imo",-1
"CEN nice gap support, looks ready to head higher",1
"#CoronavirusPandemic As bad as #China's economic dive is, the slump is even more perilous for the rest of #Asia.…",-1
"TTM revs, retained earnings, FCF last 5yr. Yoga growin lifestyle trend. Can stay on top of it?",1
The implosion of a Starbucks wannabe in China shows how expensive it can be to do reliable due diligence on farawayâ€¦,-1
AAP In what world did Apple expect to order components for 65 million iPhone 5 handsets in the seasonally soft March quarter?,1
GDOT making a new higher high. MACD bullish cross + OBV trending upwards.Time to fill this gap.,1
"Gap-Down Opening For Sensex, Nifty As Coronavirus Continues To Batter Global Markets",-1
AX next stop 42.90!!!,-1
Watching HOV for a bounce to the upside. It appeared to touch 61.8% Fib at last Friday's close.,1
NYSE A/D remains strong NYX NYA NYC SPX DJIA,1
otten aapl spy,-1
KEX strong start,1
GEVO Gevo: An ndervalued Spec Play With arge Short Interest And Trading Below Cash Value,1
"for AMPE, the Gap for business is 28%, so a low on 3.69 x 14% is 4.20, and the MA-20 is also 4.20, so that is my target",1
AAP Is Still Cool,1
SNFCA moving stop tighter after seeing reaction to resistance,1
"Paradoxically, the Fedâ€™s success holds the key for further rallies in the price of gold",1
Coronavirus pandemic prompts Xerox to walk away from its more than $30 billion takeover bid for HP,-1
"JCP if ya think this won't bounce on that news, see GPN>> Agree, but still a dying business on both accounts",-1
AAP Oppenheimer reduced price target to 600 from 800.,1
"AMZN, Hunting elephants,,,a plan, patience, execution, patience, and more patience...",-1
if AAP reverses early gains QQQ will be in really big problems.,-1
AAP Apple VIX up today.,1
OWE STOP in FMD to 5.26 20ma.,-1
After Hours Most Advanced: CC EDMC BKS HAYN PIM EZPW MC DGIT PAB JNY MM GFF THO CACI PMI IF STZ CODE NB,1
DNB Call volume spike ahead of earnings,1
CJES C&J Energy: ook For The pward Trend to continue,1
AAP trying to bottom soon. It may take 1-2 wks with a target low of 430-440.,1
"DDD exhibiting climax run characteristics: ate stage base, 30%+ in 2 weeks, extended over ma's, violating upper trendline, etc...",-1
"GOOG averages trading up, and this is lagging now. Actually near the lows. Not what you want to see. Strong support at 736-737.",-1
HD breaking and holding above 70 for new all-time highs,1
- any day now. When it gets below 61.60.,-1
Workers at Bajaj Auto have agreed to a 10% wage cut for the period between April 15 and till the lockdown is lifted.,1
"Sensex Plunges Over 2,700 Points, Nifty Hits 7,950 As Coronavirus-Led Lockdowns Hurt Global Markets: 10 Things To K…",-1
"#Groupon & #JCPenney taking the hits on the mkt today, down about 24% & 18%. GPN JCP",-1
The phase irrational exuberance comes to mind when thinking about the absurd valuations of these companies AMZN CM AX NFX DDD NKD,-1
"GOOG similar to other leaders like JPM, held first support, testing underside of MA's",1
Talking headsCNBC talking the GOOG~ AAP rotation suggest max target 840 unless strong move on AAP then it will be like a teetertotter,1
AIA - decent pattern be patient for move above 21 will run to 23,1
"COX hasn't moved much since this AM, but catching my eye. ight vol pullback, above res + 200-day",1
"ES, S PAT TWO, update",-1
"RT : The stock market is gyrating wildly, but despite spending millions of dollars regulators canâ€™t always get accurate and timeâ€¦",-1
"HES broke intraday bollinger band top, now c&h & holding above resistance- watch for intraday b/o",1
NSPH peeled more off 2.19,1
"VS option trader closes out Feb 50C selling 12k against 22k OI. Opens position in Feb 55C selling 23k on hard bid vs. OI of 2,700",-1
BVSN 11.07 ai ai ai.,-1
YHOO volume is BIG. Closing above 20 today will give enough fire to make a new 52 week high later this week.,1
SHOT ATI 31.10,-1
Nice action here #all time high CM #technology IGV FDN SKYY MTK YT #salesforce.com,1
CDX long 7.72,1
GOOG setting up for another push higher. Still within a larger 3rd wave...with (v) of 3 to come...,1
DDD broke out from the bear flag to the upside.... ots of shorts who do not understand momentum being caught STDY,1
DVA really nice break through DT line on volume today,1
"AMZN the data company, not the retailer. A new post by me.",1
AAP 50EMA continue to work as AAP is making lower highs in the MACO sense,-1
"MCP craters, management tells u biz sucks, all sorts of red flags, and some people call that bullish? bottom? delusionnal.. #youondrugs?",-1
"ES_F Interesting parallel between apple AAP bubble,and the fed has your back bubble: AAP peaked with 4th phone.Fed peaked with 4th QE",-1
DT appears 2 b hammering out a bottom here at its 50 DMA. Solid EPS/sales growth+ low P/E ratio = possible earnings winner. Earnings 2/27,1
"Get divi approval from Fed (likely), it takes off user: Post from last night on Bank of America BAC -",1
O - I am starting to see Blu everywhere. very small portion of business but holiday sales may have been BTE.,1
Time for a contraction in AAP.down to test 500 this week by Weds.long Jan11th 510/500 put spread,-1
CM insider sells 1M worth of stock every week,-1
"Speaking of vehicles, this going on my bucket list DE HOG #Harley #Deere #love their new venture!",1
"Saudi Arabia, Russia Outline Record Supply Cut As Demand Crashes On COVID-19",-1
PCN Still buyable here off the breakout last week of the descending trend line. Stop set at 713.,1
V going into full breakdown mode,-1
"HES another leg up- only position in the red yesterday, now well in the green",1
"Netflix had a great year this week, up 71%. Wow. NFX",1
BAC accidentally bought the dip ->Now Close r Eyes Till end of March ;-) Or buy more on EOD Should Close 11.95 12.00 Opex,-1
"Added long FTI 53. Stock is strong in weak tap, has strong short-term news with new contracts.",1
"NFX - hearing PJCO out cautious following comScore data: Following Weak December, Overall 4Q Traffic Again Turns Negative user",-1
AMZN short 268.57,-1
State Governments Scramble For Funds As Coronavirus Takes Toll On Coffers,1
Investors into GD SV PA PTM stocks in GDX GDXJ GT GDX ING GGGG SWC PG PA and GOO AY H NEM AEM ABX pay SDIV,1
CEN is setting up near 52-week highs,1
oh JCP....,-1
